Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
intangibleAssets,13799221000.0,13747607000.0,14703352000.0,14951141000.0
totalLiab,28735415000.0,28215119000.0,26393555000.0,20735635000.0
totalStockholderEquity,15849248000.0,11065240000.0,7582157000.0,5238765000.0
otherCurrentLiab,5502309000.0,5547528000.0,5338306000.0,5442461000.0
totalAssets,44584663000.0,39280359000.0,33975712000.0,25974400000.0
commonStock,4024561000.0,3447698000.0,2793929000.0,2315988000.0
otherCurrentAssets,913883000.0,742169000.0,524669000.0,5151186000.0
retainedEarnings,12689372000.0,7573144000.0,4811749000.0,2942359000.0
otherLiab,3144891000.0,2654608000.0,3355987000.0,3888257000.0
treasuryStock,-864685000.0,44398000.0,-23521000.0,-19582000.0
otherAssets,18945591000.0,12773263000.0,10996350000.0,910843000.0
cash,6027804000.0,8205550000.0,5018437000.0,3794483000.0
totalCurrentLiabilities,8488966000.0,7805785000.0,6855696000.0,6487320000.0
deferredLongTermAssetCharges,148095000.0,589091000.0,658206000.0,564425000.0
shortLongTermDebt,699823000.0,499878000.0,,
otherStockholderEquity,-40495000.0,44398000.0,-23521000.0,-19582000.0
propertyPlantEquipment,3770026000.0,2997909000.0,2097506000.0,418281000.0
totalCurrentAssets,8069825000.0,9761580000.0,6178504000.0,9694135000.0
netTangibleAssets,2050027000.0,-2682367000.0,-7121195000.0,-9712376000.0
netReceivables,804320000.0,610819000.0,454399000.0,569633000.0
longTermDebt,14693072000.0,15809095000.0,14759260000.0,10360058000.0
accountsPayable,837483000.0,656183000.0,674347000.0,562985000.0
